Evolutionary Prisoner's Dilemma Tournament Results
Generated on,2025-06-02 11:14:44
Termination Probability,25%
OpenAI Model Used,gpt-3.5-turbo
Gemini Model Used,gemini-1.5-flash-preview-0514 

SECTION 1: POPULATION HISTORY
Phase,Alternator,Bayesian,Gemini,GenerousTFT,Gradual,GrimTrigger,OpenAI,Prober,Random,SuspiciousTFT,TitForTat,WinStayLoseShift
Phase 1,2,2,2,2,2,2,2,2,2,2,2,2
Phase 2,2,2,2,2,2,2,2,2,2,2,2,2
Phase 3,2,2,2,2,2,2,2,2,2,2,2,2
Phase 4,2,2,2,2,2,2,2,1,2,2,3,2
Phase 5,2,2,2,2,2,2,2,1,2,2,3,2

SECTION 2: STRATEGY PERFORMANCE BY PHASE
Phase,Strategy,ScorePerMove,ScorePerMatch,TotalScore,TotalRounds,MatchesPlayed
Phase 1,GenerousTFT,2.683,12.13,558,208,46
Phase 1,WinStayLoseShift,2.676,10.413,479,179,46
Phase 1,SuspiciousTFT,2.655,10.217,470,177,46
Phase 1,Bayesian,2.629,9.087,418,159,46
Phase 1,TitForTat,2.605,10.022,461,177,46
Phase 1,Gemini,2.6,9.326,429,165,46
Phase 1,Random,2.578,7.565,348,135,46
Phase 1,OpenAI,2.575,10.413,479,186,46
Phase 1,Gradual,2.552,9.652,444,174,46
Phase 1,GrimTrigger,2.533,8.37,385,152,46
Phase 1,Alternator,2.478,8.674,399,161,46
Phase 1,Prober,2.438,9.804,451,185,46
Phase 2,WinStayLoseShift,2.684,12.196,561,209,46
Phase 2,Bayesian,2.67,10.565,486,182,46
Phase 2,GrimTrigger,2.641,10.391,478,181,46
Phase 2,Gemini,2.62,11.391,524,200,46
Phase 2,TitForTat,2.604,11.435,526,202,46
Phase 2,GenerousTFT,2.602,9.674,445,171,46
Phase 2,SuspiciousTFT,2.529,12.37,569,225,46
Phase 2,Alternator,2.51,13.152,605,241,46
Phase 2,Gradual,2.503,10.283,473,189,46
Phase 2,Prober,2.429,8.13,374,154,46
Phase 2,OpenAI,2.414,8.5,391,162,46
Phase 2,Random,2.33,10.13,466,200,46
Phase 3,TitForTat,2.735,10.109,465,170,46
Phase 3,GenerousTFT,2.725,8.174,376,138,46
Phase 3,SuspiciousTFT,2.691,8.891,409,152,46
Phase 3,OpenAI,2.672,10.109,465,174,46
Phase 3,Bayesian,2.635,11.913,548,208,46
Phase 3,Gradual,2.574,13.652,628,244,46
Phase 3,GrimTrigger,2.571,10.565,486,189,46
Phase 3,WinStayLoseShift,2.568,10.326,475,185,46
Phase 3,Gemini,2.478,9.804,451,182,46
Phase 3,Alternator,2.314,9.609,442,191,46
Phase 3,Random,2.245,9.761,449,200,46
Phase 3,Prober,2.187,9.652,444,203,46
Phase 4,GrimTrigger,2.761,8.522,392,142,46
Phase 4,Bayesian,2.713,9.261,426,157,46
Phase 4,Alternator,2.667,8.348,384,144,46
Phase 4,WinStayLoseShift,2.662,8.913,410,154,46
Phase 4,TitForTat,2.656,9.739,672,253,69
Phase 4,GenerousTFT,2.651,10.087,464,175,46
Phase 4,OpenAI,2.585,7.587,349,135,46
Phase 4,Gradual,2.536,8.326,383,151,46
Phase 4,Gemini,2.505,10.13,466,186,46
Phase 4,Random,2.468,9.283,427,173,46
Phase 4,SuspiciousTFT,2.447,9.043,416,170,46
Phase 4,Prober,2.352,9.0,207,88,23
Phase 5,WinStayLoseShift,2.815,10.587,487,173,46
Phase 5,GrimTrigger,2.747,10.391,478,174,46
Phase 5,Gradual,2.721,9.761,449,165,46
Phase 5,Prober,2.687,9.696,223,83,23
Phase 5,GenerousTFT,2.653,9.978,459,173,46
Phase 5,Bayesian,2.648,8.348,384,145,46
Phase 5,TitForTat,2.643,10.609,732,277,69
Phase 5,Random,2.638,9.174,422,160,46
Phase 5,Gemini,2.595,9.478,436,168,46
Phase 5,OpenAI,2.579,13.565,624,242,46
Phase 5,SuspiciousTFT,2.485,8.913,410,165,46
Phase 5,Alternator,2.264,9.891,455,201,46

SECTION 3: COMPLETE MATCH AND ROUND DATA
Phase,Match,Round,Agent1,Agent2,Move1,Move2,Payoff1,Payoff2,Reasoning1,Reasoning2
Phase 1,13,2,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,13,3,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,13,4,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,13,5,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,13,6,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,14,1,TitForTat_1,Prober_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,14,2,TitForTat_1,Prober_1,C,D,0,5,Copying opponent's last move.,Testing opponent with defection on second move.
Phase 1,14,3,TitForTat_1,Prober_1,D,C,5,0,Copying opponent's last move.,Back to cooperation for the third move.
Phase 1,14,4,TitForTat_1,Prober_1,C,D,0,5,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (D)."
Phase 1,14,5,TitForTat_1,Prober_1,D,C,5,0,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (C)."
Phase 1,15,1,TitForTat_1,Prober_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,15,2,TitForTat_1,Prober_2,C,D,0,5,Copying opponent's last move.,Testing opponent with defection on second move.
Phase 1,16,1,TitForTat_1,Alternator_1,C,C,3,3,Copying opponent's last move.,Alternating pattern: cooperate on even-numbered rounds.
Phase 1,16,2,TitForTat_1,Alternator_1,C,D,0,5,Copying opponent's last move.,Alternating pattern: defect on odd-numbered rounds.
Phase 1,16,3,TitForTat_1,Alternator_1,D,C,5,0,Copying opponent's last move.,Alternating pattern: cooperate on even-numbered rounds.
Phase 1,17,1,TitForTat_1,Alternator_2,C,C,3,3,Copying opponent's last move.,Alternating pattern: cooperate on even-numbered rounds.
Phase 1,17,2,TitForTat_1,Alternator_2,C,D,0,5,Copying opponent's last move.,Alternating pattern: defect on odd-numbered rounds.
Phase 1,18,1,TitForTat_1,Bayesian_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation to gather data.
Phase 1,18,2,TitForTat_1,Bayesian_1,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.10, grim_trigger:0.10, win_stay_lose_shift:0.10, random:0.10, generous_tft:0.10, suspicious_tft:0.10, gradual:0.10, prober:0.10, alternator:0.10, always_cooperate:0.10. Using TFT."
Phase 1,18,3,TitForTat_1,Bayesian_1,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.13, grim_trigger:0.13, win_stay_lose_shift:0.13, random:0.07, generous_tft:0.13, suspicious_tft:0.13, gradual:0.13, prober:0.01, alternator:0.01, always_cooperate:0.13. Using TFT."
Phase 1,18,4,TitForTat_1,Bayesian_1,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.04, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.01, alternator:0.01, always_cooperate:0.14. Using TFT."
Phase 1,18,5,TitForTat_1,Bayesian_1,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.02, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,1,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation to gather data.
Phase 1,19,2,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.10, grim_trigger:0.10, win_stay_lose_shift:0.10, random:0.10, generous_tft:0.10, suspicious_tft:0.10, gradual:0.10, prober:0.10, alternator:0.10, always_cooperate:0.10. Using TFT."
Phase 1,20,1,TitForTat_1,OpenAI_1,C,C,3,3,Copying opponent's last move.,"Since this is the first round and I have no information about my opponent's strategy, it is best to start with cooperation (C). This initial move sets a positive tone for potential cooperation in future rounds, which can lead to mutual benefit if my opponent reciprocates."
Phase 1,20,2,TitForTat_1,OpenAI_1,C,C,3,3,Copying opponent's last move.,"Since both my opponent and I cooperated in the first round, it indicates a potential for cooperation. Continuing to cooperate might lead to a mutually beneficial outcome if my opponent also chooses to cooperate again. Therefore, I will choose to cooperate."
Phase 1,21,1,TitForTat_1,OpenAI_2,C,C,3,3,Copying opponent's last move.,"Since this is the first round and I have no information about my opponent's strategy, it is optimal to start with cooperation (C). By cooperating, I show goodwill and openness to collaboration, which might encourage my opponent to reciprocate in the future rounds, leading to mutual benefits."
Phase 1,21,2,TitForTat_1,OpenAI_2,C,C,3,3,Copying opponent's last move.,"Since both my opponent and I cooperated in the first round, it might be beneficial to continue cooperating to maintain a mutually beneficial outcome. By cooperating, we both get 3 points each. Furthermore, establishing a pattern of cooperation may lead to a higher overall score in the long run if the game continues. Therefore, I will continue to cooperate."
Phase 1,22,1,TitForTat_1,Gemini_1,C,C,3,3,Copying opponent's last move.,"Since there's no history, I'll start by cooperating in hopes of establishing mutual cooperation."
Phase 1,22,2,TitForTat_1,Gemini_1,C,D,0,5,Copying opponent's last move.,"The opponent cooperated in the first round. Since the game can end randomly, it's in my best interest to defect to maximize my potential gain. If the game continues, I will continue to monitor their moves and consider cooperating in future rounds."
Phase 1,23,1,TitForTat_1,Gemini_2,C,D,0,5,Copying opponent's last move.,"This is the start of the game. Since the game can end at any time, it's important to maximize points early.  Cooperation is generally beneficial in the long run, but defection offers the highest single-round payoff. Given the 25% chance of the game ending after any round, I'll defect to maximize my potential gain in the first round."
Phase 1,23,2,TitForTat_1,Gemini_2,D,D,1,1,Copying opponent's last move.,They defected against my initial cooperation.  Tit for tat.
Phase 1,24,1,TitForTat_2,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,24,2,TitForTat_2,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,24,3,TitForTat_2,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,24,4,TitForTat_2,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,24,5,TitForTat_2,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,24,6,TitForTat_2,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,24,7,TitForTat_2,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,24,8,TitForTat_2,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,25,1,TitForTat_2,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,25,2,TitForTat_2,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,25,3,TitForTat_2,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,25,4,TitForTat_2,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,26,1,TitForTat_2,WinStayLoseShift_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,27,1,TitForTat_2,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,27,2,TitForTat_2,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,27,3,TitForTat_2,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,27,4,TitForTat_2,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,28,1,TitForTat_2,Random_1,C,D,0,5,Copying opponent's last move.,Randomly chose D.
Phase 1,29,1,TitForTat_2,Random_2,C,D,0,5,Copying opponent's last move.,Randomly chose D.
Phase 1,29,2,TitForTat_2,Random_2,D,D,1,1,Copying opponent's last move.,Randomly chose D.
Phase 1,29,3,TitForTat_2,Random_2,D,D,1,1,Copying opponent's last move.,Randomly chose D.
Phase 1,29,4,TitForTat_2,Random_2,D,D,1,1,Copying opponent's last move.,Randomly chose D.
Phase 1,29,5,TitForTat_2,Random_2,D,D,1,1,Copying opponent's last move.,Randomly chose D.
Phase 1,30,1,TitForTat_2,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,30,2,TitForTat_2,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,30,3,TitForTat_2,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,30,4,TitForTat_2,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,30,5,TitForTat_2,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,30,6,TitForTat_2,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,31,1,TitForTat_2,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,31,2,TitForTat_2,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,31,3,TitForTat_2,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,31,4,TitForTat_2,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,31,5,TitForTat_2,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,31,6,TitForTat_2,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,31,7,TitForTat_2,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,32,1,TitForTat_2,SuspiciousTFT_1,C,D,0,5,Copying opponent's last move.,Starting with defection (suspicious).
Phase 1,32,2,TitForTat_2,SuspiciousTFT_1,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,33,1,TitForTat_2,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Starting with defection (suspicious).
Phase 1,33,2,TitForTat_2,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,33,3,TitForTat_2,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,33,4,TitForTat_2,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,33,5,TitForTat_2,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,33,6,TitForTat_2,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,33,7,TitForTat_2,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,33,8,TitForTat_2,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,33,9,TitForTat_2,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,33,10,TitForTat_2,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,33,11,TitForTat_2,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,33,12,TitForTat_2,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,33,13,TitForTat_2,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,33,14,TitForTat_2,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,33,15,TitForTat_2,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,34,1,TitForTat_2,Gradual_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,34,2,TitForTat_2,Gradual_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,34,3,TitForTat_2,Gradual_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,35,1,TitForTat_2,Gradual_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,35,2,TitForTat_2,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,36,1,TitForTat_2,Prober_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,36,2,TitForTat_2,Prober_1,C,D,0,5,Copying opponent's last move.,Testing opponent with defection on second move.
Phase 1,36,3,TitForTat_2,Prober_1,D,C,5,0,Copying opponent's last move.,Back to cooperation for the third move.
Phase 1,36,4,TitForTat_2,Prober_1,C,D,0,5,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (D)."
Phase 1,36,5,TitForTat_2,Prober_1,D,C,5,0,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (C)."
Phase 1,36,6,TitForTat_2,Prober_1,C,D,0,5,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (D)."
Phase 1,36,7,TitForTat_2,Prober_1,D,C,5,0,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (C)."
Phase 1,36,8,TitForTat_2,Prober_1,C,D,0,5,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (D)."
Phase 1,37,1,TitForTat_2,Prober_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,37,2,TitForTat_2,Prober_2,C,D,0,5,Copying opponent's last move.,Testing opponent with defection on second move.
Phase 1,37,3,TitForTat_2,Prober_2,D,C,5,0,Copying opponent's last move.,Back to cooperation for the third move.
Phase 1,37,4,TitForTat_2,Prober_2,C,D,0,5,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (D)."
Phase 1,37,5,TitForTat_2,Prober_2,D,C,5,0,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (C)."
Phase 1,38,1,TitForTat_2,Alternator_1,C,C,3,3,Copying opponent's last move.,Alternating pattern: cooperate on even-numbered rounds.
Phase 1,38,2,TitForTat_2,Alternator_1,C,D,0,5,Copying opponent's last move.,Alternating pattern: defect on odd-numbered rounds.
