Evolutionary Prisoner's Dilemma Tournament Results
Generated on,2025-06-02 13:07:27
Termination Probability,10%
OpenAI Model Used,gpt-3.5-turbo
Gemini Model Used,gemini-1.5-flash-preview-0514 

SECTION 1: POPULATION HISTORY
Phase,Alternator,Bayesian,Gemini,GenerousTFT,Gradual,GrimTrigger,OpenAI,Prober,Random,SuspiciousTFT,TitForTat,WinStayLoseShift
Phase 1,2,2,2,2,2,2,2,2,2,2,2,2
Phase 2,2,2,2,2,2,3,2,2,1,2,2,2
Phase 3,1,2,2,2,2,3,2,1,1,2,2,4
Phase 4,1,3,2,2,2,4,2,1,0,0,2,5
Phase 5,0,3,2,2,2,5,2,0,0,0,2,6

SECTION 2: STRATEGY PERFORMANCE BY PHASE
Phase,Strategy,ScorePerMove,ScorePerMatch,TotalScore,TotalRounds,MatchesPlayed
Phase 1,GrimTrigger,2.786,22.587,1039,373,46
Phase 1,GenerousTFT,2.779,28.761,1323,476,46
Phase 1,Bayesian,2.766,29.761,1369,495,46
Phase 1,TitForTat,2.763,21.5,989,358,46
Phase 1,Gradual,2.726,30.935,1423,522,46
Phase 1,Gemini,2.698,24.283,1117,414,46
Phase 1,WinStayLoseShift,2.537,23.935,1101,434,46
Phase 1,OpenAI,2.501,25.065,1153,461,46
Phase 1,SuspiciousTFT,2.438,19.609,902,370,46
Phase 1,Alternator,2.304,24.043,1106,480,46
Phase 1,Prober,2.244,18.826,866,386,46
Phase 1,Random,2.084,18.978,873,419,46
Phase 2,WinStayLoseShift,2.775,29.022,1335,481,46
Phase 2,TitForTat,2.746,28.478,1310,477,46
Phase 2,GenerousTFT,2.743,28.022,1289,470,46
Phase 2,Bayesian,2.737,28.674,1319,482,46
Phase 2,Gemini,2.58,23.109,1063,412,46
Phase 2,GrimTrigger,2.51,21.754,1501,598,69
Phase 2,OpenAI,2.499,27.109,1247,499,46
Phase 2,Gradual,2.493,25.522,1174,471,46
Phase 2,SuspiciousTFT,2.327,24.935,1147,493,46
Phase 2,Random,2.153,22.087,508,236,23
Phase 2,Prober,2.142,26.261,1208,564,46
Phase 2,Alternator,2.077,21.087,970,467,46
Phase 3,Bayesian,2.882,27.13,1248,433,46
Phase 3,GrimTrigger,2.822,26.58,1834,650,69
Phase 3,WinStayLoseShift,2.796,25.707,2365,846,92
Phase 3,Gradual,2.782,26.609,1224,440,46
Phase 3,TitForTat,2.769,29.674,1365,493,46
Phase 3,GenerousTFT,2.735,26.283,1209,442,46
Phase 3,OpenAI,2.564,28.652,1318,514,46
Phase 3,Prober,2.357,21.522,495,210,23
Phase 3,Gemini,2.303,22.783,1048,455,46
Phase 3,Alternator,2.114,16.087,370,175,23
Phase 3,SuspiciousTFT,2.061,21.413,985,478,46
Phase 3,Random,1.947,15.913,366,188,23
Phase 4,GenerousTFT,2.947,28.761,1323,449,46
Phase 4,WinStayLoseShift,2.924,27.461,3158,1080,115
Phase 4,GrimTrigger,2.912,22.348,2056,706,92
Phase 4,OpenAI,2.884,21.13,972,337,46
Phase 4,TitForTat,2.875,23.435,1078,375,46
Phase 4,Bayesian,2.79,30.449,2101,753,69
Phase 4,Gradual,2.745,20.348,936,341,46
Phase 4,Gemini,2.611,23.043,1060,406,46
Phase 4,Prober,2.277,18.217,419,184,23
Phase 4,Alternator,2.101,18.174,418,199,23
Phase 5,Gradual,2.988,27.804,1279,428,46
Phase 5,TitForTat,2.967,25.283,1163,392,46
Phase 5,WinStayLoseShift,2.951,26.022,3591,1217,138
Phase 5,GrimTrigger,2.937,27.991,3219,1096,115
Phase 5,GenerousTFT,2.934,28.13,1294,441,46
Phase 5,Bayesian,2.929,31.797,2194,749,69
Phase 5,OpenAI,2.899,22.565,1038,358,46
Phase 5,Gemini,2.523,20.457,941,373,46

SECTION 3: COMPLETE MATCH AND ROUND DATA
Phase,Match,Round,Agent1,Agent2,Move1,Move2,Payoff1,Payoff2,Reasoning1,Reasoning2
Phase 1,5,1,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,5,2,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,3,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,4,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,5,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,6,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,7,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,8,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,9,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,6,1,TitForTat_1,Random_1,C,C,3,3,Copying opponent's last move.,Randomly chose C.
Phase 1,6,2,TitForTat_1,Random_1,C,D,0,5,Copying opponent's last move.,Randomly chose D.
Phase 1,6,3,TitForTat_1,Random_1,D,D,1,1,Copying opponent's last move.,Randomly chose D.
Phase 1,6,4,TitForTat_1,Random_1,D,D,1,1,Copying opponent's last move.,Randomly chose D.
Phase 1,6,5,TitForTat_1,Random_1,D,D,1,1,Copying opponent's last move.,Randomly chose D.
Phase 1,6,6,TitForTat_1,Random_1,D,C,5,0,Copying opponent's last move.,Randomly chose C.
Phase 1,6,7,TitForTat_1,Random_1,C,D,0,5,Copying opponent's last move.,Randomly chose D.
Phase 1,6,8,TitForTat_1,Random_1,D,C,5,0,Copying opponent's last move.,Randomly chose C.
Phase 1,7,1,TitForTat_1,Random_2,C,D,0,5,Copying opponent's last move.,Randomly chose D.
Phase 1,8,1,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,8,2,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,8,3,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,8,4,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,8,5,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,8,6,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,9,1,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,9,2,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,9,3,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,9,4,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,9,5,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,9,6,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,9,7,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,9,8,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,10,1,TitForTat_1,SuspiciousTFT_1,C,D,0,5,Copying opponent's last move.,Starting with defection (suspicious).
Phase 1,10,2,TitForTat_1,SuspiciousTFT_1,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,10,3,TitForTat_1,SuspiciousTFT_1,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,10,4,TitForTat_1,SuspiciousTFT_1,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,10,5,TitForTat_1,SuspiciousTFT_1,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,10,6,TitForTat_1,SuspiciousTFT_1,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,11,1,TitForTat_1,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Starting with defection (suspicious).
Phase 1,11,2,TitForTat_1,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,11,3,TitForTat_1,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,11,4,TitForTat_1,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,11,5,TitForTat_1,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,11,6,TitForTat_1,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,12,1,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,12,2,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,12,3,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,12,4,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,12,5,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,12,6,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,13,1,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,13,2,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,13,3,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,14,1,TitForTat_1,Prober_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,14,2,TitForTat_1,Prober_1,C,D,0,5,Copying opponent's last move.,Testing opponent with defection on second move.
Phase 1,14,3,TitForTat_1,Prober_1,D,C,5,0,Copying opponent's last move.,Back to cooperation for the third move.
Phase 1,14,4,TitForTat_1,Prober_1,C,D,0,5,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (D)."
Phase 1,14,5,TitForTat_1,Prober_1,D,C,5,0,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (C)."
Phase 1,15,1,TitForTat_1,Prober_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,15,2,TitForTat_1,Prober_2,C,D,0,5,Copying opponent's last move.,Testing opponent with defection on second move.
Phase 1,15,3,TitForTat_1,Prober_2,D,C,5,0,Copying opponent's last move.,Back to cooperation for the third move.
Phase 1,15,4,TitForTat_1,Prober_2,C,D,0,5,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (D)."
Phase 1,15,5,TitForTat_1,Prober_2,D,C,5,0,Copying opponent's last move.,"Playing Tit-for-Tat, copying opponent's last move (C)."
Phase 1,16,1,TitForTat_1,Alternator_1,C,C,3,3,Copying opponent's last move.,Alternating pattern: cooperate on even-numbered rounds.
Phase 1,17,1,TitForTat_1,Alternator_2,C,C,3,3,Copying opponent's last move.,Alternating pattern: cooperate on even-numbered rounds.
Phase 1,17,2,TitForTat_1,Alternator_2,C,D,0,5,Copying opponent's last move.,Alternating pattern: defect on odd-numbered rounds.
Phase 1,17,3,TitForTat_1,Alternator_2,D,C,5,0,Copying opponent's last move.,Alternating pattern: cooperate on even-numbered rounds.
Phase 1,17,4,TitForTat_1,Alternator_2,C,D,0,5,Copying opponent's last move.,Alternating pattern: defect on odd-numbered rounds.
Phase 1,17,5,TitForTat_1,Alternator_2,D,C,5,0,Copying opponent's last move.,Alternating pattern: cooperate on even-numbered rounds.
Phase 1,17,6,TitForTat_1,Alternator_2,C,D,0,5,Copying opponent's last move.,Alternating pattern: defect on odd-numbered rounds.
Phase 1,18,1,TitForTat_1,Bayesian_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation to gather data.
Phase 1,18,2,TitForTat_1,Bayesian_1,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.10, grim_trigger:0.10, win_stay_lose_shift:0.10, random:0.10, generous_tft:0.10, suspicious_tft:0.10, gradual:0.10, prober:0.10, alternator:0.10, always_cooperate:0.10. Using TFT."
Phase 1,18,3,TitForTat_1,Bayesian_1,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.13, grim_trigger:0.13, win_stay_lose_shift:0.13, random:0.07, generous_tft:0.13, suspicious_tft:0.13, gradual:0.13, prober:0.01, alternator:0.01, always_cooperate:0.13. Using TFT."
Phase 1,19,1,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation to gather data.
Phase 1,19,2,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.10, grim_trigger:0.10, win_stay_lose_shift:0.10, random:0.10, generous_tft:0.10, suspicious_tft:0.10, gradual:0.10, prober:0.10, alternator:0.10, always_cooperate:0.10. Using TFT."
Phase 1,19,3,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.13, grim_trigger:0.13, win_stay_lose_shift:0.13, random:0.07, generous_tft:0.13, suspicious_tft:0.13, gradual:0.13, prober:0.01, alternator:0.01, always_cooperate:0.13. Using TFT."
Phase 1,19,4,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.04, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.01, alternator:0.01, always_cooperate:0.14. Using TFT."
Phase 1,19,5,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.02, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,6,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.01, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,7,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.01, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,8,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,9,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,10,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,11,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,12,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,13,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,14,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,15,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,16,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
Phase 1,19,17,TitForTat_1,Bayesian_2,C,C,3,3,Copying opponent's last move.,"Not confident in opponent strategy yet. Probs: tit_for_tat:0.14, grim_trigger:0.14, win_stay_lose_shift:0.14, random:0.00, generous_tft:0.14, suspicious_tft:0.14, gradual:0.14, prober:0.00, alternator:0.00, always_cooperate:0.14. Using TFT."
